Primary Cell Line Name,Compound,IC50 (uM)
CAL-85-1,Irinotecan,0.262406975
Calu-1,Irinotecan,1.865310788
CAMA-1,Irinotecan,0.345670938
Capan-2,Irinotecan,0.875530243
CAS-1,Irinotecan,0.778563261
CHL-1,Irinotecan,0.265276551
CI-1,Irinotecan,0.034480847
CMK-86,Irinotecan,0.126632199
COLO-320,Irinotecan,0.3590886
COLO-677,Irinotecan,0.237037167
COLO-678,Irinotecan,2.113509417
COLO-679,Irinotecan,0.5789662
COLO-699,Irinotecan,0.301165879
COR-L23,Irinotecan,0.491822183
COV318,Irinotecan,1.230852246
Daoy,Irinotecan,0.189579859
DBTRG-05MG,Irinotecan,0.085044153
DEL,Irinotecan,0.011414592
DK-MG,Irinotecan,0.584982872
DOHH-2,Irinotecan,0.094600096
DOV13,Irinotecan,0.082012415
DU 145,Irinotecan,0.198496774
EBC-1,Irinotecan,0.124000698
EFE-184,Irinotecan,0.910060167
EFM-19,Irinotecan,0.922290325
EFO-21,Irinotecan,0.714112222
EFO-27,Irinotecan,0.519779325
EM-2,Irinotecan,0.04779857
EN,Irinotecan,4.784356117
F-36P,Irinotecan,0.559227943
FU-OV-1,Irinotecan,0.313900679
G-361,Irinotecan,0.222893253
G-401,Irinotecan,0.084212132
GB-1,Irinotecan,0.078636877
GCT,Irinotecan,0.050006822
GLC-82,Irinotecan,1.126153827
GMS-10,Irinotecan,2.797261953
GRANTA-519,Irinotecan,0.030715285
HCC1569,Irinotecan,0.723442316
HCC2935,Irinotecan,1.382619977
HCC4006,Irinotecan,0.572342813
HCC-56,Irinotecan,1.125410199
HCC70,Irinotecan,0.075391009
HCT 116,Irinotecan,0.276744455
HCT-15,Irinotecan,0.26266107
HDQ-P1,Irinotecan,0.174632937
HEC-151,Irinotecan,0.322438896
HEC-1-B,Irinotecan,5.365125179
HEC-251,Irinotecan,2.345185518
HEC-265,Irinotecan,0.312169522
HEC-59,Irinotecan,0.121810623
HEC-6,Irinotecan,0.507195612
Hep 3B2.1-7,Irinotecan,2.34637475
Hep G2,Irinotecan,0.189004108
Hey-A8,Irinotecan,0.16702649
HGC-27,Irinotecan,8
HLE,Irinotecan,0.419608593
HLF,Irinotecan,0.261088133
HMC-1-8,Irinotecan,0.704123199
HMCB,Irinotecan,0.209313378
HOS,Irinotecan,0.283931613
HPAC,Irinotecan,0.722931325
Hs 294T,Irinotecan,0.324935049
Hs 683,Irinotecan,0.422525823
Hs 695T,Irinotecan,0.372649074
Hs 739.T,Irinotecan,2.83324337
Hs 766T,Irinotecan,5.188987255
Hs 840.T,Irinotecan,0.746174514
Hs 852.T,Irinotecan,7.632351875
Hs 936.T,Irinotecan,0.863415956
Hs 944.T,Irinotecan,0.089219473
HSC-2,Irinotecan,0.141894951
HT-1197,Irinotecan,3.058591604
HT-1376,Irinotecan,2.700818062
HT-144,Irinotecan,0.705108225
HT-29,Irinotecan,0.301147372
HuCCT1,Irinotecan,1.397503495
huH-1,Irinotecan,0.326290578
HUP-T3,Irinotecan,1.762922764
IA-LM,Irinotecan,1.086725235
IGR-37,Irinotecan,0.27013734
IGR-39,Irinotecan,0.368193597
IGROV1,Irinotecan,0.793657839
IPC-298,Irinotecan,0.35077408
IST-MES1,Irinotecan,0.621329963
IST-MES2,Irinotecan,0.068911389
JHH-2,Irinotecan,0.848505259
JHH-4,Irinotecan,0.277152896
JHH-6,Irinotecan,3.094129562
JMSU-1,Irinotecan,0.158283249
JURKAT,Irinotecan,0.057521079
JVM-3,Irinotecan,0.018932486
K029AX,Irinotecan,0.336584717
KALS-1,Irinotecan,0.959533691
KARPAS-422,Irinotecan,0.173049331
KARPAS-620,Irinotecan,2.158792496
KASUMI-2,Irinotecan,0.042180192
KCL-22,Irinotecan,0.129412934
KE-97,Irinotecan,0.026682707
KG-1,Irinotecan,0.250821879
KHM-1B,Irinotecan,0.071645685
KLE,Irinotecan,0.983213782
KMBC-2,Irinotecan,0.834210813
KMM-1,Irinotecan,0.198362663
KMRC-1,Irinotecan,0.458422363
KMRC-2,Irinotecan,2.883164406
KMS-11,Irinotecan,0.417666435
KMS-26,Irinotecan,0.082779452
KMS-34,Irinotecan,0.040386364
KNS-42,Irinotecan,0.747000277
KNS-60,Irinotecan,0.436378628
KNS-81,Irinotecan,0.219013736
KO52,Irinotecan,0.0992705
KP-1N,Irinotecan,1.541691184
KP-1NL,Irinotecan,1.637331009
KP-2,Irinotecan,1.598707199
KP-3,Irinotecan,2.133014202
KP4,Irinotecan,0.256401986
KP-N-SI9s,Irinotecan,0.028646117
KU812,Irinotecan,0.449586183
KURAMOCHI,Irinotecan,1.841904879
KYSE-30,Irinotecan,0.788275123
KYSE-410,Irinotecan,0.140010215
KYSE-520,Irinotecan,2.260991573
L3.3,Irinotecan,0.07414142
L-363,Irinotecan,0.050349064
L-428,Irinotecan,0.370309383
LCLC-103H,Irinotecan,1.152564049
LN-18,Irinotecan,0.750220239
LOU-NH91,Irinotecan,0.076675788
LP-1,Irinotecan,1.010143757
LS513,Irinotecan,0.218933001
LU99,Irinotecan,0.035251014
Malme-3M,Irinotecan,1.857961059
MB 157,Irinotecan,0.220516041
MCAS,Irinotecan,0.814044297
MCF7,Irinotecan,0.402109355
MDA-MB-435S,Irinotecan,0.392551422
MDA-MB-453,Irinotecan,0.111045882
MDA-MB-468,Irinotecan,0.164094135
MEC-1,Irinotecan,0.075994484
MEG-01,Irinotecan,0.499857932
MEL-HO,Irinotecan,0.282565325
MeWo,Irinotecan,1.513760471
MFE-280,Irinotecan,0.743656993
MG-63,Irinotecan,0.206715479
MHH-ES-1,Irinotecan,0.046031624
MIA PaCa-2,Irinotecan,0.21262221
Mino,Irinotecan,0.068454541
MKN-45,Irinotecan,0.075805597
MKN7,Irinotecan,0.417916745
MKN74,Irinotecan,1.215258121
MOLP-8,Irinotecan,0.215999931
MOLT-16,Irinotecan,0.021349076
MONO-MAC-1,Irinotecan,0.098226845
MPP 89,Irinotecan,0.478835434
NCI-H1048,Irinotecan,0.041015971
NCI-H1092,Irinotecan,0.142945096
NCI-H1184,Irinotecan,0.031542514
NCI-H1339,Irinotecan,0.15753369
NCI-H1341,Irinotecan,0.194616899
NCI-H1373,Irinotecan,1.430255294
NCI-H1666,Irinotecan,0.209506392
NCI-H1693,Irinotecan,0.313385129
NCI-H1694,Irinotecan,0.04943854
NCI-H1869,Irinotecan,1.70174861
NCI-H1915,Irinotecan,0.260307193
NCI-H1975,Irinotecan,0.853643298
NCI-H2009,Irinotecan,0.292758912
NCI-H2030,Irinotecan,0.539358318
NCI-H211,Irinotecan,0.156739518
NCI-H2122,Irinotecan,0.089756981
NCI-H2170,Irinotecan,0.163862392
NCI-H2172,Irinotecan,0.002771225
NCI-H2228,Irinotecan,0.194996953
NCI-H2286,Irinotecan,0.07240358
NCI-H2444,Irinotecan,0.618729711
NCI-H2452,Irinotecan,0.209673807
NCI-H322,Irinotecan,0.433685452
NCI-H3255,Irinotecan,0.595720112
NCI-H441,Irinotecan,0.199361607
NCI-H520,Irinotecan,0.227801815
NCI-H522,Irinotecan,0.791150272
NCI-H661,Irinotecan,0.458387136
NCI-H727,Irinotecan,7.505040646
NCI-H810,Irinotecan,0.466829419
NCO2,Irinotecan,0.12840499
NIH:OVCAR-3,Irinotecan,0.347054332
NUGC-3,Irinotecan,0.051157556
OC 315,Irinotecan,0.268796146
OC 316,Irinotecan,0.290675133
OCI-AML2,Irinotecan,0.08137615
OCI-AML5,Irinotecan,0.072669894
OCUM-1,Irinotecan,0.256819844
OE21,Irinotecan,0.519156873
OE33,Irinotecan,0.10038691
ONCO-DG-1,Irinotecan,0.569973826
ONS-76,Irinotecan,0.580970824
OPM-2,Irinotecan,0.059301183
OV-90,Irinotecan,0.226904228
OVCAR-4,Irinotecan,1.580782056
OVCAR-8,Irinotecan,0.076275177
OVMANA,Irinotecan,2.627765656
OVSAHO,Irinotecan,1.787026286
OVTOKO,Irinotecan,0.282552302
P12-ICHIKAWA,Irinotecan,0.021059502
P31/FUJ,Irinotecan,0.118088782
Panc 02.03,Irinotecan,0.438172162
Panc 03.27,Irinotecan,0.141366243
Panc 04.03,Irinotecan,0.453512251
Panc 10.05,Irinotecan,0.165120766
PC-3,Irinotecan,0.391232997
PK-1,Irinotecan,0.322627187
PK-45H,Irinotecan,1.025749683
PK-59,Irinotecan,1.561426044
PL45,Irinotecan,0.239563033
PLC/PRF/5,Irinotecan,0.348716348
RERF-LC-AI,Irinotecan,0.200938895
RKN,Irinotecan,0.215337321
RKO,Irinotecan,0.240451589
RL95-2,Irinotecan,2.114158869
RPMI-8402,Irinotecan,0.029797392
RT-112,Irinotecan,0.231587827
RT4,Irinotecan,0.389254719
RVH-421,Irinotecan,2.83050251
Saos-2,Irinotecan,0.143189043
SBC-5,Irinotecan,0.212178454
SCaBER,Irinotecan,0.253975421
SF126,Irinotecan,0.125173897
SF-295,Irinotecan,0.196908399
SF8657,Irinotecan,3.799183846
SH-10-TC,Irinotecan,1.958092809
SHP-77,Irinotecan,1.929042816
SIG-M5,Irinotecan,0.067426525
SIMA,Irinotecan,0.042342495
SK-BR-3,Irinotecan,0.066147186
SK-ES-1,Irinotecan,0.027182899
SK-HEP-1,Irinotecan,0.494542003
SK-LU-1,Irinotecan,0.246181339
SK-MEL-2,Irinotecan,0.855546892
SK-MEL-24,Irinotecan,0.17700699
SK-MEL-30,Irinotecan,1.162807584
SK-MEL-31,Irinotecan,2.318071604
SK-MEL-5,Irinotecan,0.169432431
SK-MM-2,Irinotecan,2.666969299
SK-N-BE(2),Irinotecan,0.151516899
SK-OV-3,Irinotecan,0.300980896
SNG-M,Irinotecan,1.51800251
SNU-449,Irinotecan,1.140779734
SU-DHL-10,Irinotecan,0.276485264
SU-DHL-4,Irinotecan,0.058299471
SU-DHL-6,Irinotecan,0.115588643
SU-DHL-8,Irinotecan,0.026439931
SUIT-2,Irinotecan,0.122101009
SUP-M2,Irinotecan,0.028892279
SW 1271,Irinotecan,0.22140196
SW 1353,Irinotecan,0.589429975
SW403,Irinotecan,0.1093245
SW48,Irinotecan,0.081428669
SW480,Irinotecan,0.320389837
SW579,Irinotecan,0.172142565
SW620,Irinotecan,0.099334568
SW 780,Irinotecan,0.463058263
T24,Irinotecan,0.064731821
T3M-10,Irinotecan,1.963816285
T84,Irinotecan,6.51297035
T98G,Irinotecan,0.949372947
TC-71,Irinotecan,0.187918454
TCCSUP,Irinotecan,0.663574755
TE 617.T,Irinotecan,0.076531045
TE-9,Irinotecan,0.203579873
TEN,Irinotecan,2.147051811
TOV-112D,Irinotecan,0.124151275
TOV-21G,Irinotecan,0.345193356
TT2609-C02,Irinotecan,0.100279018
TYK-nu,Irinotecan,0.091407262
U-118 MG,Irinotecan,0.19118841
U-2 OS,Irinotecan,0.658780694
U-87 MG,Irinotecan,0.791709542
U-937,Irinotecan,0.08081679
UACC-812,Irinotecan,1.588083982
UM-UC-3,Irinotecan,0.626409352
VMRC-RCW,Irinotecan,0.344637007
VMRC-RCZ,Irinotecan,1.191046834
WM1799,Irinotecan,1.036122918
WM-793,Irinotecan,0.054842666
WM-88,Irinotecan,0.245181203
WM-983B,Irinotecan,0.385578249
YKG1,Irinotecan,1.712632179
ZR-75-30,Irinotecan,1.559987545
1321N1,Topotecan,0.148274869
22Rv1,Topotecan,0.099058755
42-MG-BA,Topotecan,0.039293982
5637,Topotecan,0.173501834
639-V,Topotecan,0.043717291
697,Topotecan,0.033808429
769-P,Topotecan,0.512587368
786-O,Topotecan,0.070824966
8305C,Topotecan,0.121891111
8505C,Topotecan,0.08654926
8-MG-BA,Topotecan,0.317269981
A172,Topotecan,0.282938868
A-204,Topotecan,0.419383049
A2058,Topotecan,0.306486487
A-253,Topotecan,0.083752848
A2780,Topotecan,0.063862644
A-375,Topotecan,0.324800313
A549,Topotecan,0.938382328
A-673,Topotecan,0.036970902
ACHN,Topotecan,0.102092952
ALL-SIL,Topotecan,0.008664954
AMO-1,Topotecan,0.064710945
AN3 CA,Topotecan,4.924846172
AsPC-1,Topotecan,2.35110116
AU565,Topotecan,0.135726973
AZ-521,Topotecan,0.218398899
B-CPAP,Topotecan,0.376834154
BDCM,Topotecan,0.089756981
BFTC-909,Topotecan,0.281486571
BGC-823,Topotecan,3.444973707
BL-41,Topotecan,0.147502452
BL-70,Topotecan,0.058189418
BT-20,Topotecan,1.101752639
BT-474,Topotecan,8
BT-549,Topotecan,0.079294346
BxPC-3,Topotecan,0.375695467
C2BBe1,Topotecan,4.397677898
C32,Topotecan,0.277574718
C3A,Topotecan,1.277745843
Caki-2,Topotecan,2.470702171
CAL-12T,Topotecan,1.766121268
CAL 27,Topotecan,0.119514093
CAL-78,Topotecan,0.523859501
CAL-85-1,Topotecan,0.609531581
Calu-1,Topotecan,2.019465446
Calu-3,Topotecan,0.459127128
Calu-6,Topotecan,0.967333257
CAMA-1,Topotecan,8
Capan-2,Topotecan,1.211455703
CAS-1,Topotecan,1.745085597
CCK-81,Topotecan,0.315985888
CHL-1,Topotecan,0.603086352
CHP-212,Topotecan,0.685362101
CI-1,Topotecan,0.042425834
CMK-86,Topotecan,0.048435722
COLO 201,Topotecan,0.675204515
COLO 205,Topotecan,0.069262683
COLO-320,Topotecan,0.570157707
COLO-677,Topotecan,0.273624718
COLO-678,Topotecan,2.79253912
COLO-679,Topotecan,1.032151341
COLO-699,Topotecan,0.581077933
COLO 741,Topotecan,0.492934048
COR-L105,Topotecan,3.35720396
COR-L23,Topotecan,1.03082037
COV318,Topotecan,2.08240962
COV504,Topotecan,1.967409611
Daoy,Topotecan,0.090712041
DBTRG-05MG,Topotecan,0.365084618
DEL,Topotecan,0.018882528
Detroit 562,Topotecan,2.941049814
DK-MG,Topotecan,1.879144669
DMS 114,Topotecan,0.165829986
DOHH-2,Topotecan,0.25928551
DOV13,Topotecan,0.188383788
DU 145,Topotecan,0.410396844
DV-90,Topotecan,0.200362504
EB1,Topotecan,0.315917939
EB2,Topotecan,0.144005239
EBC-1,Topotecan,0.0932668
EFE-184,Topotecan,2.294300079
EFM-19,Topotecan,1.288745522
EFO-21,Topotecan,0.552219272
EFO-27,Topotecan,1.11445117
EM-2,Topotecan,0.044002295
EN,Topotecan,8
ES-2,Topotecan,0.07795731
ESS-1,Topotecan,0.012411577
F-36P,Topotecan,2.810830593
FaDu,Topotecan,0.285734326
FU97,Topotecan,3.706771612
FU-OV-1,Topotecan,2.943581104
G-361,Topotecan,0.447601497
G-401,Topotecan,0.18110247
G-402,Topotecan,0.068023697
GAMG,Topotecan,2.934370756
GB-1,Topotecan,0.039856937
GCIY,Topotecan,0.762559891
GCT,Topotecan,0.057794768
GI-1,Topotecan,1.793213606
GLC-82,Topotecan,7.042705536
GMS-10,Topotecan,4.470766544
GRANTA-519,Topotecan,0.050527275
H4,Topotecan,0.510983527
HARA,Topotecan,0.356094778
HCC1187,Topotecan,6.199724674
HCC1395,Topotecan,8
HCC-15,Topotecan,0.735330224
HCC1569,Topotecan,4.643163681
HCC1806,Topotecan,0.069536671
HCC1954,Topotecan,2.357321501
HCC2935,Topotecan,2.090069056
HCC4006,Topotecan,3.726411819
HCC-44,Topotecan,1.264467955
HCC-56,Topotecan,2.986945629
HCC70,Topotecan,0.068039373
HCC-78,Topotecan,0.137572125
HCC827,Topotecan,3.660596371
HCT 116,Topotecan,0.201158181
HCT-15,Topotecan,0.402517259
HD-MY-Z,Topotecan,0.028245414
HDQ-P1,Topotecan,0.198780566
HEC-151,Topotecan,0.22309193
HEC-1-A,Topotecan,1.210060835
HEC-1-B,Topotecan,0.844642818
HEC-251,Topotecan,2.128628016
HEC-265,Topotecan,0.40937677
HEC-59,Topotecan,0.118323028
HEC-6,Topotecan,0.837716639
HEL 92.1.7,Topotecan,0.452649206
Hep 3B2.1-7,Topotecan,8
Hep G2,Topotecan,0.428559452
Hey-A8,Topotecan,0.06718149
HGC-27,Topotecan,0.241324902
HH,Topotecan,0.147611246
HLE,Topotecan,0.791636586
HLF,Topotecan,0.392792702
HMC-1-8,Topotecan,1.098204136
HMCB,Topotecan,0.227054164
HOS,Topotecan,0.524624527
HPAC,Topotecan,0.38243261
HPAF-II,Topotecan,0.860146046
Hs 229.T,Topotecan,8
Hs 294T,Topotecan,0.717730522
Hs 578T,Topotecan,8
Hs 683,Topotecan,1.16079092
Hs 695T,Topotecan,0.840216935
Hs 729,Topotecan,0.35032174
Hs 739.T,Topotecan,4.647302151
Hs 746T,Topotecan,0.699272513
Hs 766T,Topotecan,8
Hs 840.T,Topotecan,2.885690212
Hs 852.T,Topotecan,5.76911974
Hs 895.T,Topotecan,4.513065338
Hs 936.T,Topotecan,2.382953644
Hs 939.T,Topotecan,6.028975964
Hs 944.T,Topotecan,0.128988206
HSC-2,Topotecan,0.11338155
HT,Topotecan,0.2027933
HT-1080,Topotecan,0.247212142
HT-1197,Topotecan,8
HT-1376,Topotecan,8
HT-144,Topotecan,1.052970886
HT-29,Topotecan,0.708593786
HuCCT1,Topotecan,0.792975426
huH-1,Topotecan,0.497032493
HUP-T3,Topotecan,1.416436672
HUP-T4,Topotecan,0.105005339
HuT 78,Topotecan,0.170725718
IA-LM,Topotecan,0.781150937
IGR-37,Topotecan,0.686573923
IGR-39,Topotecan,0.523803174
IGROV1,Topotecan,0.29051441
IM95,Topotecan,0.873082639
IMR-32,Topotecan,0.029726984
IPC-298,Topotecan,0.457936704
Ishikawa (Heraklio) 02 ER-,Topotecan,0.520882368
IST-MES1,Topotecan,0.143415794
IST-MES2,Topotecan,0.039499149
J82,Topotecan,0.487003028
JHH-2,Topotecan,8
JHH-4,Topotecan,0.113978796
JHH-5,Topotecan,0.091584355
JHH-6,Topotecan,8
JHH-7,Topotecan,0.972578168
JHOS-2,Topotecan,0.586575627
JHOS-4,Topotecan,1.302278399
JHUEM-2,Topotecan,0.083270483
JM1,Topotecan,0.176624015
JMSU-1,Topotecan,0.109795749
JURKAT,Topotecan,0.052126963
JVM-3,Topotecan,0.016992867
K029AX,Topotecan,0.670985878
KALS-1,Topotecan,0.498715103
KARPAS-299,Topotecan,0.626553655
KARPAS-422,Topotecan,0.093660198
KARPAS-620,Topotecan,1.148798943
KASUMI-2,Topotecan,0.049187038
KCI-MOH1,Topotecan,2.067111015
KCL-22,Topotecan,0.089885302
KE-39,Topotecan,2.439250231
KE-97,Topotecan,0.039149981
KELLY,Topotecan,0.146283925
KG-1,Topotecan,0.257356942
KHM-1B,Topotecan,0.044213697
KLE,Topotecan,7.809304237
KMBC-2,Topotecan,1.004773498
KMM-1,Topotecan,0.229858205
KMRC-1,Topotecan,1.30197835
KMRC-2,Topotecan,8
KMS-11,Topotecan,0.773472965
KMS-12-BM,Topotecan,0.268235147
KMS-26,Topotecan,0.067616343
KMS-34,Topotecan,0.059535764
KNS-42,Topotecan,1.487622499
KNS-60,Topotecan,0.156042814
KNS-62,Topotecan,1.695052624
KNS-81,Topotecan,0.467877626
KO52,Topotecan,0.057549361
KP-1N,Topotecan,2.419879913
KP-1NL,Topotecan,1.941916943
KP-2,Topotecan,1.456149459
KP-3,Topotecan,0.75530833
KP4,Topotecan,0.693772852
KP-N-SI9s,Topotecan,0.024177901
KU812,Topotecan,0.310233384
KURAMOCHI,Topotecan,0.870019794
KYM-1,Topotecan,0.507416606
KYSE-140,Topotecan,1.071992775
KYSE-150,Topotecan,3.841142893
KYSE-180,Topotecan,0.431775212
KYSE-30,Topotecan,0.644506454
KYSE-410,Topotecan,3.549948931
KYSE-450,Topotecan,4.590821266
KYSE-510,Topotecan,0.078613929
KYSE-520,Topotecan,4.235891819
KYSE-70,Topotecan,1.593729496
L3.3,Topotecan,0.254557401
L-363,Topotecan,0.031153897
L-428,Topotecan,0.374255389
LC-1/sq-SF,Topotecan,6.929805756
LCLC-103H,Topotecan,0.984498441
LN-18,Topotecan,0.319844007
LN-229,Topotecan,3.162317038
LOU-NH91,Topotecan,0.466385007
LOX IMVI,Topotecan,0.110076092
LP-1,Topotecan,0.941703677
LS123,Topotecan,4.644304752
LS411N,Topotecan,0.46733886
LS513,Topotecan,0.717250442
LU99,Topotecan,0.052027762
LUDLU-1,Topotecan,0.057614818
M059J,Topotecan,1.389219999
Malme-3M,Topotecan,4.586944103
MB 157,Topotecan,0.081366144
MC116,Topotecan,0.126930177
MCAS,Topotecan,0.59492451
MCF7,Topotecan,0.700595081
MDA-MB-157,Topotecan,0.219044015
MDA-MB-175-VII,Topotecan,1.671281815
MDA-MB-415,Topotecan,1.833097261
MDA-MB-435S,Topotecan,0.252718359
MDA-MB-436,Topotecan,0.78094697
MDA-MB-453,Topotecan,0.217682108
MDA-MB-468,Topotecan,0.195560917
MEC-1,Topotecan,0.058134917
MEG-01,Topotecan,0.576862156
MEL-HO,Topotecan,1.003030896
MES-SA,Topotecan,0.113630891
MeWo,Topotecan,8
MFE-280,Topotecan,2.228371859
MFE-296,Topotecan,0.066732004
MFE-319,Topotecan,2.104567289
MG-63,Topotecan,0.252202541
MHH-ES-1,Topotecan,0.021923717
MIA PaCa-2,Topotecan,0.130220592
Mino,Topotecan,0.045961671
MJ,Topotecan,0.234880462
MKN-45,Topotecan,0.070358671
MKN7,Topotecan,0.608839095
MKN74,Topotecan,0.693890095
MOG-G-CCM,Topotecan,8
MOLP-8,Topotecan,0.403848886
MOLT-16,Topotecan,0.017107064
MONO-MAC-1,Topotecan,0.031757414
MOR/CPR,Topotecan,0.933623016
MPP 89,Topotecan,0.315215021
MSTO-211H,Topotecan,0.258645028
NCI-H1048,Topotecan,0.021476045
NCI-H1092,Topotecan,0.433359116
NCI-H1155,Topotecan,0.052346837
NCI-H1184,Topotecan,0.108763337
NCI-H1299,Topotecan,0.2542018
NCI-H1339,Topotecan,0.153223231
NCI-H1341,Topotecan,0.065639363
NCI-H1355,Topotecan,8
NCI-H1373,Topotecan,3.092561483
NCI-H1563,Topotecan,8
NCI-H1568,Topotecan,0.198225573
NCI-H1573,Topotecan,8
NCI-H1581,Topotecan,0.752945065
NCI-H1648,Topotecan,1.776734114
NCI-H1650,Topotecan,1.748359203
NCI-H1651,Topotecan,0.730994105
NCI-H1666,Topotecan,1.009786963
NCI-H1693,Topotecan,0.337148786
NCI-H1694,Topotecan,0.060661137
NCI-H1703,Topotecan,0.653529227
NCI-H1792,Topotecan,1.201798558
NCI-H1793,Topotecan,1.696554303
NCI-H1869,Topotecan,1.442871295
NCI-H1915,Topotecan,1.123872519
NCI-H1944,Topotecan,0.70968318
NCI-H1975,Topotecan,1.463482499
NCI-H2009,Topotecan,0.815872073
NCI-H2023,Topotecan,0.640784621
NCI-H2030,Topotecan,0.146490812
NCI-H2052,Topotecan,0.177221939
NCI-H2085,Topotecan,8
NCI-H2087,Topotecan,0.190087274
NCI-H211,Topotecan,0.170390353
NCI-H2122,Topotecan,0.054307785
NCI-H2170,Topotecan,0.062579744
NCI-H2172,Topotecan,8
NCI-H2228,Topotecan,0.347262293
NCI-H226,Topotecan,1.052712202
NCI-H2286,Topotecan,0.035901897
NCI-H23,Topotecan,0.738976538
NCI-H2444,Topotecan,3.432085276
NCI-H2452,Topotecan,0.676232159
NCI-H28,Topotecan,0.938266993
NCI-H322,Topotecan,1.082859039
NCI-H3255,Topotecan,2.016582251
NCI-H358,Topotecan,1.649246097
NCI-H441,Topotecan,0.472572863
NCI-H460,Topotecan,0.247599795
NCI-H520,Topotecan,0.897854149
NCI-H522,Topotecan,3.539058924
NCI-H647,Topotecan,6.831822395
NCI-H650,Topotecan,1.197357535
NCI-H661,Topotecan,8
NCI-H727,Topotecan,8
NCI-H747,Topotecan,1.061155081
NCI-H810,Topotecan,8
NCI-N87,Topotecan,0.344504684
NCO2,Topotecan,0.088908896
NIH:OVCAR-3,Topotecan,1.308173299
NUGC-3,Topotecan,0.11532969
NUGC-4,Topotecan,0.11084988
OC 314,Topotecan,0.327038288
OC 315,Topotecan,0.298700869
OC 316,Topotecan,0.324411362
OCI-AML2,Topotecan,0.043617342
OCI-AML5,Topotecan,0.048216723
OCI-LY10,Topotecan,2.5986619
OCUM-1,Topotecan,0.19988291
OE21,Topotecan,0.497452617
OE33,Topotecan,0.178223893
ONCO-DG-1,Topotecan,0.544737399
ONS-76,Topotecan,0.282274336
OPM-2,Topotecan,0.164545968
OV-90,Topotecan,0.224122435
OVCAR-4,Topotecan,0.22894901
OVCAR-8,Topotecan,0.076904632
OVMANA,Topotecan,2.304437637
OVSAHO,Topotecan,3.248932123
OVTOKO,Topotecan,0.266293198
P12-ICHIKAWA,Topotecan,0.029561678
P31/FUJ,Topotecan,0.070343539
P3HR-1,Topotecan,0.348159671
Panc 02.03,Topotecan,1.181352615
Panc 03.27,Topotecan,0.369094014
Panc 04.03,Topotecan,0.749540627
Panc 10.05,Topotecan,0.205392376
PA-TU-8902,Topotecan,1.78911376
PC-14,Topotecan,0.436552972
PC-3,Topotecan,1.130956054
Pfeiffer,Topotecan,0.194569066
PK-1,Topotecan,1.541857004
PK-45H,Topotecan,8
PK-59,Topotecan,1.728012681
PL45,Topotecan,0.592088997
PLC/PRF/5,Topotecan,5.845123768
PSN1,Topotecan,0.511069894
QGP-1,Topotecan,8
Raji,Topotecan,0.169695526
RD,Topotecan,0.5192765
Reh,Topotecan,0.126334921
RERF-GC-1B,Topotecan,0.37224856
RERF-LC-AI,Topotecan,0.361096591
RERF-LC-MS,Topotecan,3.05450654
RKN,Topotecan,0.394977033
RKO,Topotecan,0.25112009
RL95-2,Topotecan,3.644716978
RPMI-7951,Topotecan,0.219252735
RPMI-8402,Topotecan,0.029627599
RT-112,Topotecan,0.085220702
RT4,Topotecan,0.745223701
RVH-421,Topotecan,2.739427805
Saos-2,Topotecan,0.202830687
SBC-5,Topotecan,0.217956498
SCaBER,Topotecan,0.769597352
SCC-25,Topotecan,0.368204892
SCC-9,Topotecan,1.646006346
SF126,Topotecan,0.06171101
SF-295,Topotecan,0.350752532
SF8657,Topotecan,8
SH-10-TC,Topotecan,2.632290602
SHP-77,Topotecan,7.473632336
SIG-M5,Topotecan,0.04164324
SIMA,Topotecan,0.042583194
SJRH30,Topotecan,0.130715638
SJSA-1,Topotecan,0.196286261
SK-BR-3,Topotecan,0.062866874
SK-CO-1,Topotecan,8
SK-ES-1,Topotecan,0.041868385
SK-HEP-1,Topotecan,0.828171253
SK-LMS-1,Topotecan,0.173477858
SK-LU-1,Topotecan,0.383002907
SK-MEL-2,Topotecan,0.269802178
SK-MEL-24,Topotecan,0.388914019
SK-MEL-30,Topotecan,1.808261991
SK-MEL-31,Topotecan,5.098436356
SK-MEL-5,Topotecan,0.366303653
SK-MES-1,Topotecan,0.099159241
SK-MM-2,Topotecan,1.544156194
SK-N-AS,Topotecan,0.248457089
SK-N-BE(2),Topotecan,0.049503136
SK-N-DZ,Topotecan,0.130665451
SK-N-FI,Topotecan,8
SK-N-SH,Topotecan,0.298132449
SK-OV-3,Topotecan,0.610328019
SNG-M,Topotecan,1.187393069
SNU-1,Topotecan,0.152797788
SNU-16,Topotecan,0.224012285
SNU-182,Topotecan,5.256701946
SNU-387,Topotecan,8
SNU-398,Topotecan,0.540610909
SNU-423,Topotecan,8
SNU-449,Topotecan,2.141221762
SNU-475,Topotecan,8
SNU-C2A,Topotecan,1.246129513
SNU-C2B,Topotecan,0.419408828
Sq-1,Topotecan,0.315580066
SU.86.86,Topotecan,0.529913664
SU-DHL-10,Topotecan,0.107029647
SU-DHL-4,Topotecan,0.058180481
SU-DHL-6,Topotecan,0.114836454
SU-DHL-8,Topotecan,0.030706322
SUIT-2,Topotecan,0.055478178
SUP-M2,Topotecan,0.077504747
SUP-T1,Topotecan,0.062727965
SW 1088,Topotecan,7.864079751
SW 1271,Topotecan,0.13332364
SW 1353,Topotecan,2.20531702
SW1417,Topotecan,0.231740862
